,clone,replicate,tracking.id,total_path_length,final_displacement,mean.speed,,,,,,,,
1,cloneA,1,5,6.950719833,4.052623272,0.001678635,,,,,,,,
2,cloneA,1,6,42.09737396,6.190786362,0.003389206,,,,,,,,
3,cloneA,1,7,342.2861938,131.2352142,0.004174416,,,,,,,,
4,cloneA,1,8,383.4668884,36.1697197,0.006291047,,,,,,,,
5,cloneA,1,9,21.08095932,21.08095932,0.015264995,,,,,,,,
6,cloneA,1,10,7.929419041,7.929419041,0.005741795,,,,,,,,
7,cloneA,1,11,22.79606819,12.05450726,0.002732594,,,,,,,,
8,cloneA,1,12,437.3547668,87.7627182,0.006686539,,,,,,,,
9,cloneA,1,13,331.7865906,190.4676971,0.007306041,,,,,,,,
10,cloneA,1,14,10.85343838,10.85343838,0.007859115,,,,,,,,
11,cloneA,1,16,28.02332115,28.01230049,0.010150959,,,,,,,,
12,cloneA,1,19,25.91527557,21.4822216,0.009386003,,,,,,,,
13,cloneA,1,20,35.77996063,6.286085606,0.001142506,,,,,,,,
14,cloneA,1,21,130.4164276,6.979381084,0.00172349,,,,,,,,
15,cloneA,1,22,239.1031799,216.3458099,0.008471913,,,,,,,,
16,cloneA,1,23,264.2191772,110.7137909,0.005151943,,,,,,,,
17,cloneA,1,24,571.6314697,179.2698669,0.006697005,,,,,,,,
18,cloneA,1,25,14.32691669,1.77395916,0.000203798,,,,,,,,
19,cloneA,1,33,42.69548416,28.33961868,0.009116328,,,,,,,,
20,cloneA,1,34,148.1381378,127.8309631,0.004730889,,,,,,,,
21,cloneA,1,36,304.2819824,98.93615723,0.00907986,,,,,,,,
22,cloneA,1,37,14.27389336,14.27389336,0.001477629,,,,,,,,
23,cloneA,1,38,8.790752411,4.386506557,0.003185055,,,,,,,,
24,cloneA,1,42,359.8017578,195.1682739,0.005336873,,,,,,,,
25,cloneA,1,43,371.234375,150.795578,0.004592032,,,,,,,,
26,cloneA,1,44,342.7573853,19.84973335,0.005462559,,,,,,,,
27,cloneA,1,45,9.189545631,9.027046204,0.002489865,,,,,,,,
28,cloneA,1,46,5.210538387,5.210538387,0.001887876,,,,,,,,
29,cloneA,1,47,194.4997253,75.42732239,0.005168098,,,,,,,,
30,cloneA,1,48,18.616642,18.616642,0.013490321,,,,,,,,
31,cloneA,1,49,147.271759,132.3401337,0.008650018,,,,,,,,
32,cloneA,1,50,294.9059448,24.27456856,0.004492691,,,,,,,,
33,cloneA,1,51,47.55649948,13.44329357,0.002281624,,,,,,,,
34,cloneA,1,56,107.5005188,87.10761261,0.009546284,,,,,,,,
35,cloneA,1,58,244.985611,130.2789917,0.0074532,,,,,,,,
36,cloneA,1,59,471.8479614,52.81929016,0.005106204,,,,,,,,
37,cloneA,1,63,597.2336426,128.7879639,0.004205486,,,,,,,,
38,cloneA,1,65,229.5001068,185.85849,0.005057849,,,,,,,,
39,cloneA,1,66,20.19112206,20.19112206,0.014631248,,,,,,,,
40,cloneA,1,69,38.45998764,9.192690849,0.001664701,,,,,,,,
41,cloneA,1,70,78.88117218,52.98558426,0.009021574,,,,,,,,
42,cloneA,1,71,57.14740753,27.39665604,0.008886358,,,,,,,,
43,cloneA,1,72,57.76425171,10.29022598,0.00199216,,,,,,,,
44,cloneA,1,75,12.48408222,12.48408222,0.009046436,,,,,,,,
45,cloneA,1,81,16.4950161,15.68462658,0.004431775,,,,,,,,
46,cloneA,1,82,1.696532845,1.696532845,0.001229372,,,,,,,,
47,cloneA,1,83,5.690585613,2.651676655,0.000287961,,,,,,,,
48,cloneA,1,90,31.67901039,22.18851662,0.013128496,,,,,,,,
49,cloneA,1,99,28.4760437,28.39804268,0.004349899,,,,,,,,
50,cloneA,1,103,61.62097168,39.55674362,0.005967499,,,,,,,,
51,cloneA,1,106,5.38342762,5.348974228,0.001950261,,,,,,,,
52,cloneA,1,108,91.35640717,21.33431625,0.002975424,,,,,,,,
53,cloneA,1,114,44.35675049,43.98609924,0.007598053,,,,,,,,
54,cloneA,1,115,33.93832397,33.35334396,0.012292101,,,,,,,,
55,cloneA,1,117,1.456120253,1.455573916,0.000334813,,,,,,,,
56,cloneA,1,122,459.1871033,158.8832397,0.005119851,,,,,,,,
57,cloneA,1,123,76.81861115,42.98781967,0.005566566,,,,,,,,
58,cloneA,1,130,10.1850729,10.1850729,0.003690244,,,,,,,,
59,cloneA,1,133,31.80176353,31.01267624,0.007681585,,,,,,,,
60,cloneA,1,137,174.3844147,173.2728729,0.031591381,,,,,,,,
61,cloneA,1,140,413.5599365,282.9384155,0.00731858,,,,,,,,
62,cloneA,1,147,9.943867683,9.943867683,0.0024019,,,,,,,,
63,cloneA,1,157,78.05452728,75.42082977,0.005853385,,,,,,,,
64,cloneA,1,158,57.74670029,49.67127609,0.004095529,,,,,,,,
65,cloneA,1,159,121.3519211,71.61373901,0.00676412,,,,,,,,
66,cloneA,1,160,120.4046021,108.2671127,0.007931361,,,,,,,,
67,cloneA,1,163,293.190918,25.23620224,0.005218069,,,,,,,,
68,cloneA,1,167,5.618641853,5.618641853,0.00407148,,,,,,,,
69,cloneA,1,168,11.57735538,11.57735538,0.008389388,,,,,,,,
70,cloneA,1,169,76.21076202,49.8585434,0.003767824,,,,,,,,
71,cloneA,1,171,77.72880554,44.5299263,0.004224678,,,,,,,,
72,cloneA,1,174,35.38562012,10.70181847,0.003675282,,,,,,,,
73,cloneA,1,175,259.1928406,199.8091125,0.007452727,,,,,,,,
74,cloneA,1,176,267.9507141,231.4990997,0.007201487,,,,,,,,
75,cloneA,1,183,200.123703,13.93311596,0.005270693,,,,,,,,
76,cloneA,1,190,7.568177223,4.480456352,0.00064861,,,,,,,,
77,cloneA,1,193,86.7257309,85.02474976,0.00910352,,,,,,,,
78,cloneA,1,194,177.0646057,31.74406242,0.008419657,,,,,,,,
79,cloneA,1,198,92.87230682,28.71552277,0.006417914,,,,,,,,
80,cloneA,1,201,21.60405159,21.60090828,0.007827554,,,,,,,,
81,cloneA,1,202,33.76356125,33.76356125,0.006116587,,,,,,,,
82,cloneA,1,205,14.26480579,14.25119781,0.002989821,,,,,,,,
83,cloneA,1,211,130.0392151,125.8830643,0.008555063,,,,,,,,
84,cloneA,1,213,245.4764252,118.2032318,0.008085257,,,,,,,,
85,cloneA,1,215,7.390988827,5.901055336,0.002677895,,,,,,,,
86,cloneA,1,218,197.6687775,179.3461304,0.008951954,,,,,,,,
87,cloneA,1,220,377.6369324,151.0854034,0.001380996,,,,,,,,
88,cloneA,1,226,63.38645172,63.22722244,0.012245245,,,,,,,,
89,cloneA,1,227,78.17462921,75.006073,0.006293575,,,,,,,,
90,cloneA,1,229,15.318964,15.318964,0.011100698,,,,,,,,
91,cloneA,1,232,7.101636887,7.101636887,0.005146114,,,,,,,,
92,cloneA,1,234,249.7436981,91.48400116,0.004767199,,,,,,,,
93,cloneA,1,237,265.7897034,59.63366699,0.005502418,,,,,,,,
94,cloneA,1,241,402.5882263,86.56422424,0.004949327,,,,,,,,
95,cloneA,1,244,50.43477631,44.92886353,0.003844162,,,,,,,,
96,cloneA,1,245,103.4532318,78.71352386,0.004590087,,,,,,,,
97,cloneA,1,246,114.1550751,73.2125473,0.0054258,,,,,,,,
98,cloneA,1,255,314.1904297,174.0710754,0.005126226,,,,,,,,
99,cloneA,1,257,0.366709024,0.366709024,0.000265731,,,,,,,,
100,cloneA,1,259,4.057127953,4.057127953,0.002939948,,,,,,,,
101,cloneA,1,262,19.30120468,19.29449272,0.00699319,,,,,,,,
102,cloneA,1,264,24.27067375,23.25800705,0.004396861,,,,,,,,
103,cloneA,1,265,127.6361542,38.56467819,0.005318435,,,,,,,,
104,cloneA,1,268,3.289212704,3.066165209,0.001191744,,,,,,,,
105,cloneA,1,269,62.02187347,54.80893707,0.006540808,,,,,,,,
106,cloneA,1,271,95.85486603,26.78275299,0.027101653,,,,,,,,
107,cloneA,1,275,85.73987579,77.17359161,0.005177149,,,,,,,,
108,cloneA,1,276,4.619604588,4.619604588,0.003347539,,,,,,,,
109,cloneA,1,280,362.6354675,71.41984558,0.004777441,,,,,,,,
110,cloneA,1,285,165.9833679,144.8765259,0.009251716,,,,,,,,
111,cloneA,1,288,10.76447105,10.76447105,0.007800342,,,,,,,,
112,cloneA,1,289,9.620447159,9.620447159,0.006971338,,,,,,,,
113,cloneA,1,293,80.17053986,70.22871399,0.004052714,,,,,,,,
114,cloneA,1,295,2.96535778,0.962786973,0.00019032,,,,,,,,
115,cloneA,1,296,30.12896347,7.563201427,0.005458146,,,,,,,,
116,cloneA,1,297,4.493302345,4.493302345,0.003256016,,,,,,,,
117,cloneA,1,299,36.93113327,11.42116165,0.005010384,,,,,,,,
