LID	TID	total_path_length	final_displacement	mean.speed	clone	replicate
1	1	80.85	6.792900411	0.351521739	cloneA	1
1	2	633.822	128.3803066	0.399383743	cloneA	1
1	3	711.651	341.0936965	0.418126322	cloneA	1
1	4	963.285	128.9007075	0.387795894	cloneA	1
1	5	870.399	92.49388374	0.350402174	cloneA	1
1	7	772.966	192.6190468	0.448096232	cloneA	1
1	8	556.709	120.4559034	0.224117955	cloneA	1
1	9	1113.36	638.8015825	0.44821256	cloneA	1
1	10	501.488	211.5417107	0.375928036	cloneA	1
1	11	1305.945	312.0273645	0.291180602	cloneA	1
1	12	1445.861	272.3874267	0.325717729	cloneA	1
2	1	352.392	224.4103524	0.437754037	cloneA	1
2	2	890.779	454.8438791	0.430328019	cloneA	1
2	3	983.519	288.2385765	0.577860752	cloneA	1
2	4	1200.913	194.248233	0.345785488	cloneA	1
2	5	1354.685	439.5241619	0.390061906	cloneA	1
2	6	836.591	250.494892	0.413335474	cloneA	1
2	7	812.233	388.2360303	0.452749721	cloneA	1
2	8	576.585	514.9612215	0.447659161	cloneA	1
2	9	564.997	337.8245571	0.430966438	cloneA	1
2	11	359.29	45.77836559	0.332368178	cloneA	1
2	12	424.374	239.0315924	0.392575393	cloneA	1
3	1	472.282	338.8314794	0.51335	cloneA	1
3	2	1207.186	724.9444504	0.468628106	cloneA	1
3	3	1140.36	25.52293684	0.54484472	cloneA	1
3	4	1207.565	358.2714976	0.468775233	cloneA	1
3	5	1157.447	162.0125946	0.38710602	cloneA	1
3	6	509.618	336.9401189	0.503575099	cloneA	1
3	7	946.558	156.8952034	0.514433696	cloneA	1
3	8	350.432	308.1022584	0.564302738	cloneA	1
3	9	270.977	180.0563868	0.453138796	cloneA	1
4	1	413.709	200.9723318	0.580237027	cloneA	1
4	2	513.025	289.4446599	0.391323417	cloneA	1
4	3	316.408	157.1535597	0.259563577	cloneA	1
4	4	871.95	573.9552793	0.526539855	cloneA	1
4	5	702.706	574.5523803	0.470037458	cloneA	1
4	6	834.639	257.5541468	0.525922495	cloneA	1
4	7	855.568	435.8005387	0.495981449	cloneA	1
4	8	503.517	254.6764146	0.208495652	cloneA	1
4	9	1176.674	376.9486928	0.482639048	cloneA	1
4	10	774.832	411.4149171	0.41083351	cloneA	1
4	11	992.601	431.4899424	0.459112396	cloneA	1
4	12	186.532	112.6071819	0.477063939	cloneA	1
4	13	178.361	26.04525003	0.45616624	cloneA	1
4	14	965.399	483.9204088	0.428304791	cloneA	1
4	15	778.39	424.5481295	0.554803991	cloneA	1
4	16	352.838	83.95970102	0.528992504	cloneA	1
4	17	272.739	187.0731586	0.408904048	cloneA	1
4	18	970.779	553.0203459	0.479633893	cloneA	1
4	19	835.371	372.0995064	0.54209669	cloneA	1
4	20	437.449	107.7443796	0.559397698	cloneA	1
4	21	389.749	19.8350238	0.498400256	cloneA	1
4	22	111.955	101.0457861	0.442509881	cloneA	1
4	23	83.49	65.94926306	0.33	cloneA	1
5	1	568.971	318.4868252	0.515372283	cloneA	1
5	2	1005.48	164.2743113	0.390326087	cloneA	1
5	3	1019.837	203.5941105	0.434713129	cloneA	1
5	4	558.373	186.8351249	0.238010656	cloneA	1
5	5	730.982	325.9887393	0.31158653	cloneA	1
5	6	1019.776	207.7829161	0.395875776	cloneA	1
5	7	790.942	47.00041908	0.307042702	cloneA	1
6	1	318.356	96.20473096	0.395473292	cloneA	1
6	2	1020.787	401.1258162	0.314766266	cloneA	1
