clone	replicate	tracking.id	n_frames	start_frame	total_path_length	final_displacement	volume	radius	mean.thickness	sphericity	length.to.width.ratio	dry.mass	mean.speed
A	1	5	4	1	6.950719833	4.052623272	1828.0882569999999	18.9361367225	1.8017122445	0.3437103405	2.88204088275	457.021636975	0.10071807999999999
A	1	6	10	1	42.09737396	6.190786362	1822.0086182	21.526843262	1.2568776606	0.2429346293	2.4486363128	455.50172729	0.20335136
A	1	7	58	1	342.2861938	131.2352142	1790.1922985862068	21.16400143189655	1.2605326278103448	0.2469243569137931	3.479894724396552	447.54766792931036	0.2504659221052632
A	1	8	43	3	383.4668884	36.1697197	1388.3246190697676	17.486404551627906	1.4549369729534884	0.30542890797674416	2.954266641511628	347.08083468139534	0.3774628297674419
A	1	9	2	1	21.08095932	21.08095932	3476.5085449999997	30.919709205	1.1571403144999999	0.1800476685	2.2031551625	869.1263733000001	0.9158997
A	1	10	2	1	7.929419041	7.929419041	1759.0705564999998	23.460427285	1.0193010865	0.2000140995	1.294825935	439.76724245	0.34450770000000003
A	1	11	4	1	22.79606819	12.05450726	2315.3067017500002	24.69284153	1.21178761125	0.21676920724999998	1.6935134375	578.826141375	0.16395564
A	1	12	44	1	437.3547668	87.7627182	1705.1455632954546	19.40407044159091	1.478135797159091	0.2888774892727273	2.682521554568182	426.2859947909091	0.40119238883720926
A	1	13	29	1	331.7865906	190.4676971	2494.6459035172415	23.21378957758621	1.4820212126551724	0.2562085060689655	3.34650050937931	623.6609034034483	0.4383634907142857
A	1	14	2	1	10.85343838	10.85343838	2488.1499025000003	27.256636620000002	1.066278636	0.18455241649999998	3.328564026	622.0369263	0.4715469
A	1	16	3	1	28.02332115	28.01230049	863.3899129333333	15.207714396666667	1.20386529	0.29830873	2.4010573436666665	215.84726966666668	0.60905754
A	1	19	3	1	25.91527557	21.4822216	1143.3942056666667	16.17735831	1.3913259903333333	0.31276662166666663	2.095535813	285.84829713333335	0.5631601500000001
A	1	20	9	1	35.77996063	6.286085606	2477.6091987777777	22.039984596666667	1.6059422494444444	0.19023994266666666	1.414553167888889	619.4017300111111	0.06855090750000001
A	1	21	49	1	130.4164276	6.979381084	2647.1505824081632	23.780489395918366	1.4907492739795918	0.2500745520204082	1.4279746001020408	661.7870296591836	0.1034103525
A	1	22	20	1	239.1031799	216.3458099	1396.5243042500001	18.1620401845	1.35419021255	0.28464779115	2.2684382256999998	349.130754095	0.5083147768421052
A	1	23	25	1	264.2191772	110.7137909	1896.48730952	21.8117315668	1.25929265496	0.24035751396	3.09949572172	474.121392828	0.309117465
A	1	24	60	1	571.6314697	179.2698669	1697.42039175	19.390682188833335	1.44496958055	0.2853305600666667	3.5702933870166667	424.3547093716667	0.401820320338983
A	1	25	51	1	14.32691669	1.77395916	1441.0366426862745	19.37448284745098	1.2221052039607843	0.25566202580392156	1.5304490220784315	360.25882496470587	0.01222728
A	1	33	3	2	42.69548416	28.33961868	2316.836792	26.550778073333333	1.039201558	0.185098032	2.4512870593333336	579.2086792	0.54697965
A	1	34	11	2	148.1381378	127.8309631	3551.043212909091	27.354896025454547	1.539761250909091	0.23957692481818182	1.8435769886363635	887.7599764818182	0.28385332199999996
A	1	36	24	2	304.2819824	98.93615723	1448.7230274583333	18.642664035	1.350403279125	0.27956485120833335	2.203671709625	362.1804237375	0.5447915817391304
A	1	37	2	2	14.27389336	14.27389336	2708.731201	27.801928519999997	1.1146917345	0.188352078	2.786748544	677.1822204499999	0.08865774
A	1	38	3	3	8.790752411	4.386506557	2092.965617	21.428338366666665	1.4456404446666666	0.26179586866666665	1.319295441	523.2409057666666	0.19110333000000002
A	1	42	39	3	359.8017578	195.1682739	1622.5425055128205	19.49429468051282	1.3898999186923076	0.27834955394871796	2.784555436974359	405.6352531205128	0.32021262789473687
A	1	43	58	3	371.234375	150.795578	1765.7915638448276	20.646624400689657	1.3064333621724138	0.2570580922413793	2.742971739051724	441.4474839810345	0.2755215631578947
A	1	44	34	3	342.7573853	19.84973335	1870.2925774411765	20.976788632941176	1.3711652369117646	0.2623158724411765	2.6115868101470587	467.57270813529414	0.3277538854545455
A	1	45	3	3	9.189545631	9.027046204	3722.561035	30.710933046666668	1.2559556166666666	0.19134992866666667	4.0621457843333335	930.639445	0.14939187
A	1	46	2	3	5.210538387	5.210538387	1006.5853578499999	16.84703064	1.1287147405	0.266013086	1.9656600885	251.64611815	0.11327256
A	1	47	18	3	194.4997253	75.42732239	1330.3675909277777	18.66487805	1.2348775135	0.26293301094444443	1.6280183028333333	332.59158750555554	0.3100847188235294
A	1	48	2	3	18.616642	18.616642	1724.5270995	20.41729069	1.3247611524999998	0.2539638955	2.5171923145	431.13134765	0.80941926
A	1	49	12	3	147.271759	132.3401337	936.3687998833333	16.395869175	1.1148064085833334	0.27023119483333335	1.8910711385833334	234.09198505833334	0.51900108
A	1	50	44	3	294.9059448	24.27456856	1394.9798251090908	19.079936960227272	1.2071951519772728	0.25739232120454547	2.617146741522727	348.7446424340909	0.269561811627907
A	1	51	7	3	47.55649948	13.44329357	1630.906023142857	20.85578073857143	1.193490582	0.19245664128571427	1.277586166	407.72613525714286	0.13689770999999998
A	1	56	8	4	107.5005188	87.10761261	1002.834060725	16.509578705	1.171503245625	0.275535590875	1.8536540885	250.7082901	0.5727770571428572
A	1	58	24	5	244.985611	130.2789917	1158.9920297833332	16.664854844166666	1.3403306503333332	0.3000141617916667	1.6529209895416668	289.74773534583335	0.4471919686956522
A	1	59	66	5	471.8479614	52.81929016	1141.7198653075757	16.574637875151517	1.3169304692424242	0.29796359892424246	2.019524915878788	285.4297039136364	0.30637207476923073
A	1	63	84	5	597.2336426	128.7879639	2086.6705249404763	23.049581505238095	1.2395452097261905	0.2324028921190476	1.683375688607143	521.6671476833334	0.2523292619277108
A	1	65	27	5	229.5001068	185.85849	1694.501424148148	19.928154485925926	1.3548015841851853	0.26840290151851853	2.4294766735925926	423.6249615814815	0.3034709492307692
A	1	66	2	5	20.19112206	20.19112206	2928.3796389999998	27.94689465	1.1988480685	0.19682677850000002	2.0321144405	732.09420775	0.87787488
A	1	69	9	5	38.45998764	9.192690849	780.3337741444444	14.474575148888889	1.1800884074444444	0.2212104831111111	1.6829754894444444	195.08326722222222	0.09988287
A	1	70	7	6	78.88117218	52.98558426	2047.2079032857143	21.16319956	1.448747073	0.264118778	1.2924845802857143	511.8015005857143	0.54129445
A	1	71	4	6	57.14740753	27.39665604	805.5359038500001	13.4942667475	1.40040057925	0.336761415	1.262991123	201.383785225	0.5331815
A	1	72	6	6	57.76425171	10.29022598	1615.6602781666666	24.158708891666667	0.8812926906666667	0.17525060466666667	1.383570986	403.9146881166667	0.119519496
A	1	75	2	6	12.48408222	12.48408222	2341.2404785	25.980773925	1.0997098685	0.194668591	3.1051513975000002	585.3095703500001	0.54278616
A	1	81	3	7	16.4950161	15.68462658	1181.301839	19.3019015	1.0111394126666666	0.22580995633333334	1.9296940583333333	295.32519533333334	0.2659065
A	1	82	2	7	1.696532845	1.696532845	471.42840575	10.72292137	1.248121083	0.308598787	1.9334411294999998	117.85699464999999	0.07376232
A	1	83	8	7	5.690585613	2.651676655	423.345729825	5.1959043145	4.777152657625	0.34082613325	1.5948245325000001	105.83633709	0.017283214285714287
A	1	90	1	11	31.67901039	22.18851662	3526.047119	31.58852577	1.124783635	0.173462883	1.200448932	881.5109253	0.78770976
A	1	99	3	9	28.4760437	28.39804268	1460.7679443333334	20.50513204	1.105581999	0.23021870333333333	1.2697984623333334	365.1916402	0.26099394
A	1	103	8	10	61.62097168	39.55674362	1683.8596191249999	21.145409585	1.21389366675	0.2408276965	1.7685201525	420.96452332499996	0.35804994
A	1	106	3	10	5.38342762	5.348974228	626.1654459333333	12.467855453333334	1.283185005	0.3423648576666667	1.718418743	156.5412089	0.11700363000000001
A	1	108	13	10	91.35640717	21.33431625	3440.9676795384617	26.81549747153846	1.5332028683846153	0.182265825	1.113330322	860.2411264307692	0.178527625
A	1	114	4	11	44.35675049	43.98609924	1264.70373525	18.3965344425	1.1921804247499999	0.260467671	2.00605506575	316.17565155	0.45588316
A	1	115	3	11	33.93832397	33.35334396	984.1404826	16.42025598	1.158807874	0.2759082016666667	1.4286251786666666	246.03488156666666	0.73752606
A	1	117	3	11	1.456120253	1.455573916	909.4723916	14.79107189	1.2451869646666667	0.25077725933333334	1.4485894713333334	227.36787923333333	0.020079000000000003
A	1	122	56	12	459.1871033	158.8832397	1553.8591308392856	20.2280025475	1.2114770380892856	0.24849996051785714	2.564827026732143	388.46442576785716	0.3071914789090909
A	1	123	11	12	76.81861115	42.98781967	1203.6474277272728	18.305262305454544	1.1694574681818182	0.2563308720909091	2.0394212736363637	300.91158224545455	0.33399395400000004
A	1	130	2	13	10.1850729	10.1850729	2956.082886	29.528271675	1.0797151925000001	0.17744112	1.721996039	739.02005005	0.22141464
A	1	133	4	13	31.80176353	31.01267624	862.20269775	14.9109847525	1.2435626389999999	0.30800517650000003	1.3454843295	215.55046845	0.46089511999999994
A	1	137	5	14	174.3844147	173.2728729	2568.9243164	24.087986754	1.4094144581999999	0.2414565622	1.1846549962	642.23049316	1.8954828750000001
A	1	140	37	14	413.5599365	282.9384155	1838.3512557027027	21.86879957027027	1.2175385275405406	0.23608458483783784	2.1258400234594594	459.5873875027027	0.43911551833333334
A	1	147	2	15	9.943867683	9.943867683	387.11764525	10.31726551	1.1578945515	0.3502793015	1.5338777895	96.77931595	0.14411400000000002
A	1	157	7	17	78.05452728	75.42082977	1979.3137729999999	24.876358577142856	1.0206364902857143	0.19313172357142858	1.719838935	494.82797677142855	0.35120308
A	1	158	10	17	57.74670029	49.67127609	1186.977588	17.428974343	1.2476547957	0.27964355209999997	1.6588240403	296.74412537	0.24573172
A	1	159	14	17	121.3519211	71.61373901	1088.2236807214285	16.338797569285713	1.3039010931428572	0.29771237285714286	2.861314412857143	272.05566843571427	0.4058482246153846
