clone,replicate,LID,TID,track.duration,track.length,meandering.index,euclidean.distance,mean.speed,track.present.at.start.or.end,track.never.divides,cell.line,tracking.id,lineage.id,n_frames,start_frame,total_path_length,final_displacement,calculated_displacement,lineage_rootcell,left_censored,displacement_equal,lineage_equal
cloneA,1,1,1,230,80.85,0.084018558,6.792900411,0.351521739,TRUE,FALSE,A1,2162,2162,2,261,6.777081966,6.777081966,6.777081795,FALSE,TRUE,FALSE,TRUE
cloneB,2,1,1,230,80.85,0.084018558,6.792900411,0.351521739,TRUE,FALSE,A1,4283,4283,9,192,81.52509308,73.9019165,73.90191832,FALSE,TRUE,FALSE,TRUE
cloneA,1,1,2,1587,633.822,0.202549464,128.3803066,0.399383743,FALSE,FALSE,A1,1157,1157,13,151,129.8737793,128.1078949,128.1079002,FALSE,TRUE,FALSE,TRUE
cloneB,2,1,2,1587,633.822,0.202549464,128.3803066,0.399383743,FALSE,FALSE,A1,5637,5637,24,232,186.8978577,111.3200989,111.3201013,FALSE,TRUE,FALSE,TRUE
cloneA,1,1,3,1702,711.651,0.479299118,341.0936965,0.418126322,FALSE,FALSE,A1,845,845,43,117,437.1079407,338.8217163,338.821708,FALSE,TRUE,FALSE,TRUE
cloneB,2,1,3,1702,711.651,0.479299118,341.0936965,0.418126322,FALSE,FALSE,A1,76,76,5,2,23.70006752,18.35626984,18.35627002,FALSE,TRUE,FALSE,TRUE
cloneA,1,1,4,2484,963.285,0.133813677,128.9007075,0.387795894,TRUE,FALSE,A1,1911,1911,30,234,132.5326538,128.9356995,128.9357048,FALSE,TRUE,FALSE,TRUE
cloneB,2,1,4,2484,963.285,0.133813677,128.9007075,0.387795894,TRUE,FALSE,A1,2086,2086,110,94,649.0081177,246.4599457,246.4599513,FALSE,TRUE,FALSE,TRUE
cloneA,1,1,5,2484,870.399,0.106266073,92.49388374,0.350402174,TRUE,FALSE,A1,2017,2017,9,245,103.3411942,92.5149765,92.51497722,FALSE,TRUE,FALSE,TRUE
cloneB,2,1,5,2484,870.399,0.106266073,92.49388374,0.350402174,TRUE,FALSE,A1,3626,3626,44,169,400.2655945,145.8015747,145.8015707,FALSE,TRUE,FALSE,TRUE
cloneA,1,1,7,1725,772.966,0.249194721,192.6190468,0.448096232,FALSE,FALSE,A1,945,945,9,127,203.5081024,191.4057159,191.4057206,FALSE,TRUE,FALSE,TRUE
cloneB,2,1,7,1725,772.966,0.249194721,192.6190468,0.448096232,FALSE,FALSE,A1,3039,3039,13,144,94.05835724,43.73572922,43.73572947,FALSE,TRUE,FALSE,TRUE
cloneA,1,1,8,2484,556.709,0.216371396,120.4559034,0.224117955,TRUE,FALSE,A1,1308,1308,89,165,316.1058655,120.4623413,120.462338,FALSE,TRUE,FALSE,TRUE
cloneB,2,1,8,2484,556.709,0.216371396,120.4559034,0.224117955,TRUE,FALSE,A1,3273,3273,63,155,523.2036133,88.23912811,88.23912747,FALSE,TRUE,FALSE,TRUE
cloneA,1,1,9,2484,1113.36,0.573760134,638.8015825,0.44821256,TRUE,FALSE,A1,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
cloneB,2,1,9,2484,1113.36,0.573760134,638.8015825,0.44821256,TRUE,FALSE,A1,6337,6337,7,251,132.4206696,58.16959763,58.1695985,FALSE,TRUE,FALSE,TRUE
cloneA,1,1,10,1334,501.488,0.421828061,211.5417107,0.375928036,FALSE,FALSE,A1,681,681,22,94,218.0400238,211.6035461,211.6035412,FALSE,TRUE,FALSE,TRUE
cloneA,1,1,11,4485,1305.945,0.238928412,312.0273645,0.291180602,TRUE,FALSE,A1,1538,1538,74,191,353.3253479,307.7530518,307.753041,FALSE,TRUE,FALSE,TRUE
cloneA,1,1,12,4439,1445.861,0.188391157,272.3874267,0.325717729,FALSE,FALSE,A1,1091,1091,44,143,448.1813049,268.2715454,268.2715421,FALSE,TRUE,FALSE,TRUE
cloneA,1,2,1,805,352.392,0.636820224,224.4103524,0.437754037,TRUE,FALSE,A1,1454,1454,79,181,509.0367737,226.2994843,226.2994796,FALSE,TRUE,FALSE,TRUE
cloneB,2,2,1,805,352.392,0.636820224,224.4103524,0.437754037,TRUE,FALSE,A1,3410,3410,5,161,43.19910431,33.70290375,33.70290319,FALSE,TRUE,FALSE,TRUE
cloneA,1,2,2,2070,890.779,0.510613608,454.8438791,0.430328019,FALSE,FALSE,A1,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
cloneB,2,2,2,2070,890.779,0.510613608,454.8438791,0.430328019,FALSE,FALSE,A1,4263,4263,27,192,168.5236816,78.75774384,78.7577401,FALSE,TRUE,FALSE,TRUE
cloneA,1,2,3,1702,983.519,0.293068641,288.2385765,0.577860752,FALSE,FALSE,A1,1762,1762,50,215,372.2729797,288.5961304,288.596118,FALSE,TRUE,FALSE,TRUE
cloneB,2,2,3,1702,983.519,0.293068641,288.2385765,0.577860752,FALSE,FALSE,A1,5224,5224,8,221,71.1572876,49.77447891,49.7744788,FALSE,TRUE,FALSE,TRUE
cloneA,1,2,4,3473,1200.913,0.161750462,194.248233,0.345785488,TRUE,FALSE,A1,932,932,134,126,426.7359314,194.2303619,194.2303585,FALSE,TRUE,FALSE,TRUE
cloneB,2,2,4,3473,1200.913,0.161750462,194.248233,0.345785488,TRUE,FALSE,A1,3960,3960,76,183,486.0917664,153.1083527,153.1083589,FALSE,TRUE,FALSE,TRUE
cloneA,1,2,5,3473,1354.685,0.3244475,439.5241619,0.390061906,TRUE,FALSE,A1,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
cloneB,2,2,5,3473,1354.685,0.3244475,439.5241619,0.390061906,TRUE,FALSE,A1,3111,3111,38,148,167.8438416,69.78352356,69.78352196,FALSE,TRUE,FALSE,TRUE
cloneA,1,2,6,2024,836.591,0.299423365,250.494892,0.413335474,FALSE,FALSE,A1,766,766,59,105,487.6856995,251.5574188,251.5574216,FALSE,TRUE,FALSE,TRUE
cloneB,2,2,6,2024,836.591,0.299423365,250.494892,0.413335474,FALSE,FALSE,A1,4859,4859,26,210,180.9091797,119.6839066,119.6839097,FALSE,TRUE,FALSE,TRUE
cloneA,1,2,7,1794,812.233,0.477986034,388.2360303,0.452749721,FALSE,FALSE,A1,1144,1144,101,149,493.4305115,374.3514709,374.3514736,FALSE,TRUE,FALSE,TRUE
cloneB,2,2,7,1794,812.233,0.477986034,388.2360303,0.452749721,FALSE,FALSE,A1,3219,3219,60,153,513.0286255,205.0753021,205.0753056,FALSE,TRUE,FALSE,TRUE
cloneA,1,2,8,1288,576.585,0.893122821,514.9612215,0.447659161,FALSE,FALSE,A1,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
cloneB,2,2,8,1288,576.585,0.893122821,514.9612215,0.447659161,FALSE,FALSE,A1,556,556,36,19,323.6811218,211.6045837,211.6045912,FALSE,TRUE,FALSE,TRUE
cloneA,1,2,9,1311,564.997,0.597922745,337.8245571,0.430966438,TRUE,FALSE,A1,845,845,43,117,437.1079407,338.8217163,338.821708,FALSE,TRUE,FALSE,TRUE
cloneB,2,2,9,1311,564.997,0.597922745,337.8245571,0.430966438,TRUE,FALSE,A1,33,33,35,1,184.5772705,73.58398438,73.58398412,TRUE,FALSE,FALSE,TRUE
cloneA,1,2,11,1081,359.29,0.127413414,45.77836559,0.332368178,TRUE,FALSE,A1,2112,2112,7,255,62.04230881,45.79214478,45.79214533,FALSE,TRUE,FALSE,TRUE
cloneB,2,2,11,1081,359.29,0.127413414,45.77836559,0.332368178,TRUE,FALSE,A1,4128,4128,2,188,13.54548168,13.54548168,13.54548214,FALSE,TRUE,FALSE,TRUE
cloneA,1,2,12,1081,424.374,0.563256921,239.0315924,0.392575393,TRUE,FALSE,A1,1079,1079,42,141,320.3034668,238.8103485,238.8103551,FALSE,TRUE,FALSE,TRUE
cloneB,2,2,12,1081,424.374,0.563256921,239.0315924,0.392575393,TRUE,FALSE,A1,2077,2077,57,94,332.2823181,177.2574005,177.2574051,FALSE,TRUE,FALSE,TRUE
cloneA,1,3,1,920,472.282,0.717434667,338.8314794,0.51335,TRUE,FALSE,A1,845,845,43,117,437.1079407,338.8217163,338.821708,FALSE,TRUE,FALSE,TRUE
cloneB,2,3,1,920,472.282,0.717434667,338.8314794,0.51335,TRUE,FALSE,A1,1870,1870,91,80,683.6085205,371.2522583,371.2522566,FALSE,TRUE,FALSE,TRUE
cloneA,1,3,2,2576,1207.186,0.600524236,724.9444504,0.468628106,FALSE,FALSE,A1,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
cloneB,2,3,2,2576,1207.186,0.600524236,724.9444504,0.468628106,FALSE,FALSE,A1,64,64,35,34,288.3204651,127.2245636,61.02961077,FALSE,TRUE,FALSE,TRUE
cloneA,1,3,3,2093,1140.36,0.022381473,25.52293684,0.54484472,FALSE,FALSE,A1,2000,2000,5,246,41.46365356,25.47794342,26.88120516,FALSE,TRUE,FALSE,TRUE
